Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
flutter_engine,10,5.27,8.63,0,3,8.09,5.49,3.6,7.97,6.19,7080,93,3459,6562
flutter_flutter,1.6,10,6.88,3.61,4,10,6.97,5.74,5.68,6.82,175206,97,5491,34218
flutter_plugins,5.19,5.03,5.16,0.14,3,10,1.89,6.24,5.11,5.78,18300,72,1554,12241
flybywiresim_a32nx,3.62,7.13,6.35,0.94,3,4.49,6.34,5.95,5.57,5.62,5331,32,1094,1605
freddier_hyperblog,0.64,6.42,0.48,0.21,3,10,10,0.11,2.49,4.78,10111,48,304,16332
gatsbyjs_gatsby,3.2,7.2,6.82,2.84,4,10,6.72,4.47,5.36,6.29,60433,95,9749,16236
gentoo_gentoo,10,9.95,3.99,0,3,2.19,0,3.01,7.98,3.74,2237,92,16190,3344
getsentry_sentry,9.02,5.47,6.91,0,3,9.89,6.99,5.6,7.13,7.2,30303,99,4829,4046
github_codeql,10,4.82,5.28,0,3,5.36,5.79,7.56,6.7,6.51,6327,57,2457,1471
github_docs,4.21,8.79,5.26,0,3,10,6.12,2.49,6.09,5.8,17148,30,3577,62071
gitpod-io_gitpod,4.99,5.47,6.82,1.67,3,6.82,7.99,4.49,5.54,5.97,10749,60,1118,1325
go-gitea_gitea,3.05,9.24,7.24,0,3,8.47,6.82,6.33,6.51,6.91,38014,77,2345,6552
godotengine_godot,2.82,9.2,4.69,1.01,4,6,7.02,4.21,5.44,5.5,64324,99,7660,15412
golang_go,2.33,8.28,5.34,0,3,7.85,7,1.65,5.32,5.06,122616,99,7511,21678
google-test_signclav2-probe-repo,2.75,10,5.57,0,1,1.71,0,2.5,6.11,2.92,0,19,18,19
google_it-cert-automation-practice,1.17,10,0.26,0.26,4,7.38,3.26,2.5,3.78,4.01,800,39,2,42805
GoogleChrome_developer.chrome.com,8.16,4.39,7.55,0,3,4.64,7.33,5.94,6.7,6.19,1437,28,1530,1391
gradle_gradle,4.95,7.14,5.49,1.01,3,6.6,6.88,6.71,5.73,6.43,14179,99,3723,4610
grafana_grafana,2.83,6.82,6.34,0,3,5.42,7.37,5.47,5.33,5.8,54843,99,8182,13180
grafana_loki,3.91,5.28,7.12,0,3,10,7.11,5.97,5.44,6.85,18944,52,2098,3168
gravitational_teleport,9.07,4.37,8.21,0.82,3,10,7.57,6.74,7.11,7.67,14767,85,2583,1775
grpc_grpc,5.49,5.96,5.04,0,3,10,6.84,5.12,5.5,6.55,40780,98,3970,12452
hashicorp_terraform-provider-aws,1.5,4.16,3.77,0,3,2.83,7.12,4.59,3.14,4.31,8908,70,4993,9115
hashicorp_terraform-provider-azurerm,2.16,3.97,5.95,0.14,3,2.69,7.17,6.62,4.01,5.16,4305,70,3769,4829
hashicorp_vault,6.11,4.87,6.1,0,3,8.27,7.04,5.82,5.69,6.52,29746,96,5697,4797
helium_denylist,1.6,3.54,6.9,3.33,3,10,10,5.07,3.57,6.59,318,15,19,246
helix-editor_helix,6.19,6.53,7.54,0.43,3,10,6.9,6.79,6.7,7.43,21033,23,1154,1834
home-assistant_core,2.23,9.97,7.27,2.12,4,5.48,6.46,7.55,6.21,6.52,63172,99,11488,30780
home-assistant_frontend,2.38,4.78,8.12,2.9,3,4.02,6.76,5.64,4.71,5.26,3298,93,1601,2641
home-assistant_home-assistant.io,4.65,5.06,6.37,1.21,3,4.32,5.65,4.28,5.2,4.84,4175,99,10874,9781
Homebrew_homebrew-cask,6.1,5.66,9.2,0,3,4.87,4.02,3.17,6.99,4.83,16675,99,22958,19694
Homebrew_homebrew-core,6.46,9.25,4.88,0,3,3.97,5.02,2.4,6.86,4.58,13778,85,18319,18114
huggingface_transformers,2.55,7.82,5.4,0.19,3,10,7.04,7.73,5.23,7.3,94144,53,3873,22426
idsb3t1_KEEP-pipeline-tests-resources,5.89,3.2,8.02,0,1,5.54,0,2.98,5.7,3.71,0,22,36,31
influxdata_telegraf,2.62,4.66,4.59,0,3,5.91,6.82,6.37,3.96,5.64,13765,94,2744,7023
IntelRealSense_librealsense,1.82,5.41,5.99,0.46,3,5.04,6.17,6.43,4.35,5.48,7396,87,1452,5607
istio_istio,4.93,7.69,8.26,0.66,3,8.18,6.44,5.88,6.87,6.75,34744,76,3889,8193
JacksonKearl_testissues,2.99,4.72,2.36,0,1,10,10,0.23,3.36,5.08,40,34,14,42
JetBrains_swot,4.35,2.87,7.13,0,3,6.78,3.13,0.93,4.78,3.7,1625,99,10192,20370
jitsi_jitsi-meet,1.98,5.86,6.83,7.27,4,6.81,6.89,5.33,3.92,5.52,20593,99,2130,7596
jlord_patchwork,4.03,6.05,7.61,0,3,6.89,4.2,2.35,5.9,4.69,1448,99,29372,56229
joomla_joomla-cms,4.61,7.25,5.78,0,3,2.36,5.69,3.78,5.88,4.51,4004,99,4195,4270
JuliaLang_julia,7.29,9.16,5.02,0,3,6.54,6.67,5.8,7.16,6.53,43071,99,9183,6805
JuliaRegistries_General,6.38,8.8,8.09,1.79,3,3.96,2.03,2.87,7.52,4.31,611,67,1202,688
Kaiserreich_Kaiserreich-4,1.61,4.73,0,0,3,2.96,7,0,2.11,2.62,183,63,24,87
keycloak_keycloak,4.33,5.13,5.8,5.86,3,10,6.44,4.26,4.31,5.86,16147,99,2864,6562
Koenkk_zigbee2mqtt,1.38,6.5,9.64,0.67,3,3.05,6.7,2.53,5.75,4.43,10014,60,746,1970
kubernetes_kubernetes,5.26,10,7.29,0,4,5.96,4.75,8.26,7.52,6.88,101062,99,15124,43198
kubernetes_minikube,1.84,4.49,8.14,0.24,3,6.96,6.37,4.17,4.79,5.35,27615,84,1857,5323
kubernetes_test-infra,9.19,5.54,9.32,0.12,3,2.63,5.32,5.11,8,5.52,3820,84,5756,2603
kubernetes_website,6.28,7.1,7.55,0.12,3,3.82,5.42,6.79,6.96,5.97,4693,86,11072,16042
kubevirt_kubevirt,7.17,5.63,6.87,0.66,3,4.41,6.13,9.47,6.47,6.89,4095,76,1906,1131
laravel_framework,2.35,5.82,8.21,0,3,4.95,4.29,3.46,5.46,4.52,29912,99,6948,20081
leanprover-community_mathlib,10,8.07,3.16,1.16,3,2.9,5.25,8.42,6.92,6.23,1564,69,4345,395
LeetCode-Feedback_LeetCode-Feedback,1.21,2.17,1.82,0,3,2.65,6.24,1.41,1.73,2.72,660,38,15,278
lensapp_lens,3.12,4.55,6.99,2.31,3,10,7.97,5.38,4.58,6.58,27648,52,611,1797
Lightning-AI_lightning,6.49,7.58,6.79,0.61,3,10,6.76,9.31,6.87,8.21,23996,49,2721,3598
llvm_llvm-project,5.24,10,4.37,6.98,3,10,6.54,2.19,5.61,5.65,20064,53,20729,8347
logseq_logseq,2.12,6.71,8.1,0.29,3,10,8.28,3.85,5.6,6.49,22095,34,642,1670
macports_macports-ports,10,7.73,8.22,0.13,3,2.85,0,3.8,8.63,4.3,1399,78,6475,2033
magento_magento2,2.26,6.25,2.67,0,3,2.71,6.09,3.34,3.73,3.88,10761,99,9483,12212
MarlinFirmware_Marlin,2,7.72,6.55,0,3,6.17,5.88,2.71,5.42,4.85,15916,99,2967,20224
mastodon_mastodon,1.96,6.85,5.55,7.26,4,10,7.67,3.34,3.82,5.68,43649,84,2376,9231
matplotlib_matplotlib,4.09,7.09,5.78,0,3,6.62,6.58,5.23,5.65,5.9,17164,99,2921,8044
matrix-org_synapse,6.51,4.13,7.76,1.72,3,7.81,6.93,7.49,5.9,6.97,11589,99,2433,2728
mattermost_mattermost-webapp,10,5.57,6.66,0,3,5.38,0,5.86,7.41,5.06,2414,67,4058,3551
mdn_content,4.27,8.48,9.9,0.97,3,10,6.99,3.44,7.42,6.66,8095,31,4907,18780
mdn_translated-content,7.53,6.43,5.78,1.07,3,8.73,7.03,3.53,6.44,6.14,1307,28,2944,7253
metabase_metabase,3.41,5.92,5.7,0,3,8.02,7.35,4.93,5.01,6.06,33650,90,1995,5175
MetaMask_eth-phishing-detect,0.99,3.03,8.15,4.41,3,3.49,10,3.54,3.47,4.8,793,68,931,828
MetaMask_metamask-extension,4.65,5.01,6.85,0.99,3,4.42,7.17,5.77,5.37,5.66,10516,81,2496,4011
metersphere_metersphere,3,4.07,10,0,3,10,8.36,3.46,5.69,6.42,9991,34,441,2380
microsoft_azuredatastudio,6.01,4.55,9.18,0,3,3.76,8.07,5.42,6.58,5.97,7667,65,2255,1059
microsoft_fluentui,5.66,5.38,8.23,0.12,3,5.08,6.93,7.26,6.41,6.5,16217,81,3559,3047
microsoft_onnxruntime,10,6.44,5.99,0,3,4.65,6.27,8.45,7.48,6.96,9147,52,5078,2337
microsoft_playwright,2.44,7.61,9.79,0,3,10,6.77,4.2,6.61,6.6,49558,39,792,2865
microsoft_PowerToys,1.64,7.97,8.58,0.64,4,10,7.46,5.92,5.98,7.06,96662,47,1216,6691
microsoft_terminal,1.32,5.81,6.32,3.09,3,10,6.86,10,4.07,7.59,96220,68,1571,10470
microsoft_TypeScript,1.6,7.28,5.37,0,3,6.37,7.11,6.29,4.75,6.01,96777,99,3322,16088
microsoft_vcpkg,3.45,6.47,6.54,0,3,5.1,7.04,5.68,5.49,5.78,19875,79,5543,7488
microsoft_vscode,0.92,8.81,5.41,0,4,4.09,7.77,3.16,5.05,4.83,47533,29,2359,12711
microsoft_vscode-jupyter,1.96,4.05,9.23,0,3,2.19,7.88,4.37,5.08,4.85,1033,29,360,243
microsoft_winget-pkgs,10,6.15,8.98,0,3,5.88,5.89,3.66,8.38,5.97,7307,35,5070,6138
microsoft_WSL,1.71,6.29,7.65,0,4,2.62,6.53,2.02,5.22,4,17068,84,112,972
MicrosoftDocs_azure-docs,2.2,6.81,6.87,0.39,4,2.6,4.69,3.14,5.24,3.97,9671,77,29366,23265
MicrosoftDocs_microsoft-365-docs,3.64,4.8,7.68,2.7,3,2.82,5.5,3.73,5.01,4.29,835,63,4778,1796
MicrosoftDocs_msteams-docs,4.18,3.96,9.21,1.21,3,1.83,5.7,4.17,5.62,4.44,276,66,1259,525
microsoftgraph_microsoft-graph-docs,5.68,4.8,7.46,1.91,3,2.48,7.06,6.73,5.73,5.65,1195,89,6166,2449
mlflow_mlflow,4.54,5.52,5.26,0,3,10,6.53,8.71,5.11,7.45,14734,58,1359,3721
mozilla-mobile_fenix,3.76,7.07,6.96,2.13,3,6.36,9.92,4.69,5.65,6.36,8014,61,1993,1578
mrdoob_three.js,3.11,8.63,6.13,0,3,10,5.86,3.55,5.96,6.02,83422,99,3591,41323
mui_material-ui,2.74,6.51,8.36,0.1,3,10,6.96,4.87,5.86,6.61,91680,99,5203,42436
mui_mui-x,4.57,3.35,9.05,0.91,3,4.19,6.88,6.28,5.54,5.76,2686,33,604,712
neovim_neovim,2.79,8.18,4.69,0,3,10,6.67,6.3,5.22,6.79,62036,99,2635,6532
newrelic_docs-website,9.78,5.12,9.23,1.25,3,3.68,6.63,3.54,7.88,5.49,130,32,2835,1201
nextcloud_desktop,2.03,4.38,7.14,0.15,3,2.2,7.03,5.78,4.5,4.93,2637,67,939,903
nextcloud_server,2.11,6.24,6.15,0,3,3.66,6.89,3.78,4.83,4.69,25102,82,3924,4812
NixOS_nixpkgs,8.14,10,5.36,0,4,2.11,6.52,4.35,7.83,5.38,12618,99,37784,13207
nodejs_node,1.79,9.54,5.44,0,3,10,5.47,1.64,5.59,5.26,104196,99,58,35223
nrfconnect_sdk-nrf,8.97,4.19,6.67,0,3,2.2,0,10,6.61,5.42,663,52,2992,1117
nrwl_nx,1.83,5.18,7.39,1.03,3,4.83,7.61,3.93,4.66,5.07,17678,68,1882,2167
nuxt_framework,2.54,5.07,7.81,1.11,3,7.15,6.94,3.86,4.99,5.47,8981,18,824,1447
o3de_o3de,8.83,5.68,7.95,0,3,8.43,8.13,8.76,7.49,8.19,6450,21,1668,2165
obsproject_obs-studio,3.3,7.25,4.67,3.03,3,10,5.96,4.5,4.67,5.94,50170,99,2052,8799
odoo_odoo,6.67,5.88,1.81,0,3,5.61,6.7,3.07,4.79,4.82,30125,99,13599,22788
open-mmlab_mmdetection,2,5.26,5.99,0.18,3,10,7.1,7.32,4.39,6.93,25381,55,1035,9945
open-telemetry_opentelemetry-collector-contrib,6.79,2.24,8.29,2.22,3,3.54,6.75,4.93,5.48,5.18,1592,45,1657,1578
OpenAPITools_openapi-generator,3.3,6.67,4.32,0,3,6.08,7.08,4.59,4.76,5.44,16192,59,3445,6149
opencv_opencv,3.25,7.83,5.26,0,3,10,7.3,6.1,5.45,6.92,71645,99,3666,67408
openhab_openhab-addons,4.54,5.01,6.3,0.51,3,3.3,6.4,10,5.22,6.51,2015,99,3237,4347
openjdk_jdk,8.54,8.12,1.72,1.09,3,10,0,6.01,5.98,5.6,16710,55,8365,5290
openjournals_joss-reviews,1.75,4.96,6.98,0.48,3,1.44,3.71,2.59,4.5,3.16,688,83,14,99
openshift_openshift-docs,6.5,4.76,6.61,0.4,3,1.49,6.32,5.86,5.9,5.09,715,99,5284,1930
openshift_release,8.37,6.83,7.82,2.6,3,2.05,4.66,3.98,7.33,4.73,269,77,7276,1450
openssl_openssl,6.34,6.67,2.26,0,3,9.81,6.46,8.74,5.09,7.4,22797,99,2807,10826
